  [0x512ce0] __TEXT,__cstring: stopDevice
  [0x513675] __TEXT,__cstring: v20@?0^{IOInterruptEventSource=^^?i^{IOEventSource}^{OSObject}^?B^{IOWorkLoop}^v^{ExpansionData}^{IOService}iIIBB^{ExpansionData}}8i16
  [0x5136fc] __TEXT,__cstring: %s::%s@%d: Failed to allocate IOInterruptEventSource
  [0x513732] __TEXT,__cstring: %s::%s@%d: Unable to register IOInterruptEventSource: %s(%#x)
  [0x513771] __TEXT,__cstring: %s::%s@%d: Found %s channel
  [0x51378e] __TEXT,__cstring: %s::%s@%d: allocation failed
  [0x5137ac] __TEXT,__cstring: initWithIODMAEventSource
  [0x5137c5] __TEXT,__cstring: %s::%s@%d: Can not parse dma-channels property
  [0x5137f5] __TEXT,__cstring: %s::%s@%d: No active %s DMA
  [0x513812] __TEXT,__cstring: %s::%s@%d: No dma-parent defined
  [0x513834] __TEXT,__cstring: %s::%s@%d: Malformed dma-parent data
  [0x51385a] __TEXT,__cstring: "%s::%s:" "No ADMAC suspend ARMFunction" @%s:%d
  [0x51388a] __TEXT,__cstring: %s::%s@%d: Unable to allocate IODMAEventSource
  [0x5138ba] __TEXT,__cstring: %s::%s@%d: Unable to register eventsource: %s(%#x)
  [0x5138ee] __TEXT,__cstring: copyAdmacPowerProvider
  [0x513905] __TEXT,__cstring: %s::%s@%d: external-power-provider: %s
  [0x51392d] __TEXT,__cstring: IOPowerManagement
  [0x51393f] __TEXT,__cstring: "%s::%s:" "No ADMAC power managed driver found" @%s:%d
  [0x513976] __TEXT,__cstring: validConfig
  [0x513982] __TEXT,__cstring: %s::%s@%d: Bad dma-config %d
  [0x5139a0] __TEXT,__cstring: %s::%s@%d: no channels
  [0x5139b8] __TEXT,__cstring: %s::%s@%d: bad config cc%d, bpc%d hz%d: %s(%#x)
  [0x5139e9] __TEXT,__cstring: computeParameters
  [0x5139fb] __TEXT,__cstring: setConfig
  [0x513a05] __TEXT,__cstring: %s::%s@%d: Unable to set DMAConfig for index %d: %s(%#x)
  [0x513a3f] __TEXT,__cstring: %s::%s@%d: Unable to set depth to %d: %s(%#x)
  [0x513a6e] __TEXT,__cstring: %s::%s@%d: Failed to set stream cc%d, bpc%d hz%d: %s(%#x)
  [0x513aa9] __TEXT,__cstring: "%s::%s:" "Gate not held" @%s:%d
  [0x513aca] __TEXT,__cstring: submitCommand
  [0x513ad8] __TEXT,__cstring: %s::%s@%d: Command memory descriptor unexpectedly changed
  [0x513b13] __TEXT,__cstring: %s::%s@%d: Unable to startDMACommand: %s(%#x)
  [0x513b42] __TEXT,__cstring: v16@?0r^{CompletionCallbackContext=QI}8
  [0x513b6a] __TEXT,__cstring: %s::%s@%d: Unable to transfer memory descriptor: %s(%#x)
  [0x513ba4] __TEXT,__cstring: abortStream
  [0x513bb0] __TEXT,__cstring: %s::%s@%d: stopDMACommand returned %s(%#x)
  [0x513bdc] __TEXT,__cstring: %s::%s@%d: abortTransfers returned %s(%#x)
  [0x513c08] __TEXT,__cstring: deactivate
  [0x513c13] __TEXT,__cstring: %s::%s@%d: Preventative abortTransfers returned %s(%#x)
  [0x513c4c] __TEXT,__cstring: "%s::%s:" "Lock assertion failed" @%s:%d
  [0x513c75] __TEXT,__cstring: dmaCompleted
  [0x513c82] __TEXT,__cstring: "%s::%s:" "Repeat transfer completion without pending command" @%s:%d
  [0x513cc8] __TEXT,__cstring: completeCommands
  [0x513cd9] __TEXT,__cstring: "%s::%s:" "Internal Error: No completion block" @%s:%d
  [0x513d10] __TEXT,__cstring: dmaESCompleteAction
  [0x513d24] __TEXT,__cstring: site.T
  [0x513d2b] __TEXT,__cstring: 222211111111111211112
  [0x513d41] __TEXT,__os_log: %s::%s@%d: Internal error: iopNode null or wrong type
  [0x513d78] __TEXT,__os_log: %s::%s@%d: can't create name symbol, no memory
  [0x513dd8] __TEXT,__os_log: %s::%s@%d: owner->getProvider() returned null
  [0x513e07] __TEXT,__os_log: %s::%s@%d: can't create mcaName string, no memory
  [0x513e3a] __TEXT,__os_log: %s::%s@%d: MCA reset failed: %s(%#x)
  [0x513e60] __TEXT,__os_log: %s::%s@%d: Unable to read kCMRegistersOnStateID from iopNode: %s(%#x)
  [0x513ea7] __TEXT,__os_log: %s::%s@%d: Unable to read kCMStartIOStateID from iopNode: %s(%#x)
  [0x513eea] __TEXT,__os_log: %s::%s@%d: RegisterOn '%-4.4s' StartIO '%-4.4s'
  [0x513f1b] __TEXT,__os_log: %s::%s@%d: df %x
  [0x513f2d] __TEXT,__os_log: %s::%s@%d: MCLK%s%s
  [0x513f42] __TEXT,__os_log: %s::%s@%d: MCA has%s MCLK Control, does%s routing validation and is%s immutable
  [0x513f93] __TEXT,__os_log: %s::%s@%d: setConfigSwitch request failed %s(%x)
  [0x513fc5] __TEXT,__os_log: %s::%s@%d: %s: Unexpected error reading IOPDeviceNode property id(%#x), %s(%x)
  [0x514015] __TEXT,__os_log: %s::%s@%d: %s: Unexpected error reading node state: %s(%x)
  [0x514051] __TEXT,__os_log: %s::%s@%d: Unexpected error setting IOPDeviceNode(%#x), %s(%x)
  [0x514091] __TEXT,__os_log: %s::%s@%d: Unexpected error getting current value from IOPDeviceNode(%#x), %s(%x)
  [0x5140e4] __TEXT,__os_log: %s::%s@%d: Error trying to reset a Leap?: %s(%#x)
  [0x514117] __TEXT,__os_log: %s::%s@%d: Error reading config %s(%#x)
  [0x514140] __TEXT,__os_log: %s::%s@%d: Error setting config %s(%#x)
  [0x514169] __TEXT,__os_log: %s::%s@%d: Reset error %s(%#x)
  [0x514189] __TEXT,__os_log: %s::%s@%d: %s: numChannels out of range %d
  [0x5141b5] __TEXT,__os_log: %s::%s@%d: %s: Tx channelMask %x mismatches numChannels %d
  [0x5141f1] __TEXT,__os_log: %s::%s@%d: %s: RX channelMask %x mismatches numChannels %d
  [0x51422d] __TEXT,__os_log: %s::%s@%d: %s: Tx channelMask %x mismatches channelCount %d
  [0x51426a] __TEXT,__os_log: %s::%s@%d: %s: Rx channelMask %x mismatches channelCount %d
  [0x5142a7] __TEXT,__os_log: %s::%s@%d: %s: Tx bits per channel %d out of range
  [0x5142db] __TEXT,__os_log: %s::%s@%d: %s: Rx bits per channel %d out of range
  [0x51430f] __TEXT,__os_log: %s::%s@%d: %s: Legacy I2S Mode requires an even framesize %d
  [0x51434d] __TEXT,__os_log: %s::%s@%d: %s: syncPulse len %d longer than frame %d
  [0x514383] __TEXT,__os_log: %s::%s@%d: %s: data delay %d longer than frame %d
  [0x5143b6] __TEXT,__os_log: %s::%s@%d: Only Fixed MCLKs are currently supported
  [0x5143eb] __TEXT,__os_log: %s::%s@%d: mclkDivider %d is out of range
  [0x514416] __TEXT,__os_log: %s::%s@%d: MCLK count %d not equivalent to frame frequency %d
  [0x514455] __TEXT,__os_log: %s::%s@%d: MCLK frequency %d not supported
  [0x514481] __TEXT,__os_log: %s::%s@%d: Incompatible tx channel count %d %d
  [0x5144b1] __TEXT,__os_log: %s::%s@%d: Incompatible rx channel count %d %d
  [0x5144e1] __TEXT,__os_log: %s::%s@%d: requested IISConfig is incompatible with default
  [0x51451e] __TEXT,__os_log: %s::%s@%d: Invalid: changing immutable configuration
  [0x514554] __TEXT,__os_log: %s::%s@%d: dataDelay %d >= frame size %d
  [0x51457e] __TEXT,__os_log: %s::%s@%d: max txChannelMask %#x > iisNumChannels %d
  [0x5145b4] __TEXT,__os_log: %s::%s@%d: icTxBitsPerChannel %d too large
  [0x5145e0] __TEXT,__os_log: %s::%s@%d: iisTxBitsPerSlot %d too large
  [0x51460a] __TEXT,__os_log: %s::%s@%d: icTxBitsPerChannel %d > iisTxBitsPerSlot %d
  [0x514642] __TEXT,__os_log: %s::%s@%d: Tx Channel Mask requires larger than frame size
  [0x51467e] __TEXT,__os_log: %s::%s@%d: Tx unexpected bits per slot %d
  [0x5146a9] __TEXT,__os_log: %s::%s@%d: Tx dataDelay %d >= frame size %d
  [0x5146d6] __TEXT,__os_log: %s::%s@%d: max rxChannelMask %#x > iisNumChannels %d
  [0x51470c] __TEXT,__os_log: %s::%s@%d: RX Channel Mask requires larger than frame size
  [0x514748] __TEXT,__os_log: %s::%s@%d: icRxBitsPerChannel %d too large
  [0x514774] __TEXT,__os_log: %s::%s@%d: iisRxBitsPerSlot %d too large
  [0x51479e] __TEXT,__os_log: %s::%s@%d: icRxBitsPerChannel %d > iisRxBitsPerSlot %d
  [0x5147d6] __TEXT,__os_log: %s::%s@%d: Rx unexpected bits per slot %d
  [0x514801] __TEXT,__os_log: %s::%s@%d: Rx unexpected bits per channel %d
  [0x51482f] __TEXT,__os_log: %s::%s@%d: Rx dataDelay %d >= frame size %d
  [0x51485c] __TEXT,__os_log: %s::%s@%d: %s: Invalid default IISConfig('reg')
  [0x51488d] __TEXT,__os_log: %s::%s@%d: Invalid IISConfig
  [0x5148ab] __TEXT,__os_log: %s::%s@%d: Dropping Computed Tx Fifo %d on the floor
  [0x5148e1] __TEXT,__os_log: %s::%s@%d: Non NCO computed frequency %d
  [0x51490b] __TEXT,__os_log: %s::%s@%d: NCO computed frequency %d
  [0x514931] __TEXT,__os_log: %s::%s@%d: Internal error: can't generate APMCAConfig from IIS
  [0x514971] __TEXT,__os_log: %s::%s@%d: Internal error: Failed to merge given iisConfig
  [0x5149ad] __TEXT,__os_log: %s::%s@%d:
  [0x5149ba] __TEXT,__os_log: %s::%s@%d: Leap
  [0x5149cb] __TEXT,__os_log: %s::%s@%d: Ignoring: no MCLK configured
  [0x5149f4] __TEXT,__os_log: %s::%s@%d: Ignoring: independent MCLK enable not available
  [0x514a30] __TEXT,__os_log: %s::%s@%d: Bad timing in iisConfig, use LogMask::kIisCfg for details
  [0x514a76] __TEXT,__os_log: %s::%s@%d: %d frequency does not agree with AAAFW %d nor adjusted %d
  [0x514abc] __TEXT,__os_log: %s::%s@%d: %sabling MCLK @%dhz, AOP %sabled
  [0x514ae9] __TEXT,__os_log: %s::%s@%d: Unable to get node state while attempting to set active mode = %x: %s(%x)
  [0x514b3f] __TEXT,__os_log: %s::%s@%d: active '%-4.4s'
  [0x514b5b] __TEXT,__os_log: %s::%s@%d: PreWarm request failed %s(%x)
  [0x514b85] __TEXT,__os_log: %s::%s@%d: Unexpected node state %-4.4s
  [0x514bae] __TEXT,__os_log: %s::%s@%d: Marking device inactive without calling stop
  [0x514be7] __TEXT,__os_log: %s::%s@%d: Idle request failed %s(%x)
  [0x514c37] __TEXT,__os_log: %s::%s@%d: inactive '%-4.4s' %s(%#x)
  [0x514c5d] __TEXT,__os_log: %s::%s@%d: Unable to get node state while attempting to start device %x(%s%s): %s(%x)
  [0x514cb4] __TEXT,__os_log: %s::%s@%d: Starting device in '%-4.4s' direction %d that isn't in preWarm
  [0x514cff] __TEXT,__os_log: %s::%s@%d: PowerOn %x(%s%s) request failed %s(%x)
  [0x514d32] __TEXT,__os_log: %s::%s@%d: '%-4.4s' %s(%#x)
  [0x514d4f] __TEXT,__os_log: %s::%s@%d: Unable to get node state while attempting to stop device: %s(%x)
  [0x514d9c] __TEXT,__os_log: %s::%s@%d: Transition down to Prewarm failed, %s(%x)
  [0x514e18] __TEXT,__os_log: %s::%s@%d: Invalid bitsPerChannel %d%s
  [0x514e40] __TEXT,__os_log: %s::%s@%d: Only iisMCLKTypeFixed is supported, %d is unexpected
  [0x514e81] __TEXT,__os_log: %s::%s@%d: Unsupported MCLK frequency %d
  [0x514eab] __TEXT,__os_log: %s::%s@%d: DC MCLK frequency not supported
  [0x514ed7] __TEXT,__os_log: %s::%s@%d: Legacy i2s mode Frame too small %d for 2 %dbit channels
  [0x514f1b] __TEXT,__os_log: %s::%s@%d: MCLK redefinition was '%4.4s' now '%4.4s'
  [0x514f51] __TEXT,__os_log: %s::%s@%d: MCLK Source redefinition was '%4.4s' now '%4.4s'
  [0x514fcb] __TEXT,__os_log: %s::%s@%d: ClockGen redefinition was '%4.4s' now '%4.4s'
  [0x515005] __TEXT,__os_log: %s::%s@%d: ClockGen MCLK redefinition was '%4.4s' now '%4.4s'
  [0x515044] __TEXT,__os_log: %s::%s@%d: SyncGen redefinition was '%4.4s' now '%4.4s'
  [0x51507d] __TEXT,__os_log: %s::%s@%d: SyncGen BCLK redefinition was '%4.4s' now '%4.4s'
  [0x5150bb] __TEXT,__os_log: %s::%s@%d: TxSerDes redefinition was '%4.4s' now '%4.4s'
  [0x5150f5] __TEXT,__os_log: %s::%s@%d: RxSerDes redefinition was '%4.4s' now '%4.4s'
  [0x51512f] __TEXT,__os_log: %s::%s@%d: MCLKOutputPinMask redefinition was %x now %x
  [0x515168] __TEXT,__os_log: %s::%s@%d: ClockGenOutputPinMask redefinition was %x now %x
  [0x5151a5] __TEXT,__os_log: %s::%s@%d: TxSerDesPinMask redefinition was %x now %x
  [0x5151dc] __TEXT,__os_log: %s::%s@%d: RxSerDesPinMask redefinition was %x or lbPinMask was %x now %x
  [0x515227] __TEXT,__os_log: %s::%s@%d: config has no active TX %d nor RX %d channels
  [0x515261] __TEXT,__os_log: %s::%s@%d: Can not determine bitsPerChannel
  [0x51528f] __TEXT,__os_log: %s::%s@%d: Configured blck %d too small for %d bit frame
  [0x5152ca] __TEXT,__os_log: %s::%s@%d: Configured blck %d too small for number of Rx bits specified %d
  [0x515317] __TEXT,__os_log: %s::%s@%d: Configured blck %d too small for number of Tx bits specified %d
  [0x515364] __TEXT,__os_log: %s::%s@%d: mclkCount %d must be greated than bits required %d
  [0x5153a4] __TEXT,__os_log: %s::%s@%d: Specified BCLK %d is incompatible with PerFS clock type
  [0x5153e9] __TEXT,__os_log: %s::%s@%d: Unknown MCLKType %#x
  [0x51540b] __TEXT,__os_log: %s::%s@%d: No DMA for %s
  [0x515425] __TEXT,__os_log: %s::%s@%d: Searching for %s
  [0x515442] __TEXT,__os_log: %s::%s@%d: Couldn't find channel %s
  [0x515467] __TEXT,__os_log: %s::%s@%d: Mismatch channel %s IODirection is %s
  [0x515499] __TEXT,__os_log: %s::%s@%d: Error reading DMA configuration for %s: %s(%#x)
  [0x5154d5] __TEXT,__os_log: %s::%s@%d: Failed to allocate IOInterruptEventSource
  [0x51550b] __TEXT,__os_log: %s::%s@%d: Unable to register IOInterruptEventSource: %s(%#x)
  [0x51554a] __TEXT,__os_log: %s::%s@%d: Found %s channel
  [0x515567] __TEXT,__os_log: %s::%s@%d: allocation failed
  [0x515585] __TEXT,__os_log: %s::%s@%d: Can not parse dma-channels property
  [0x5155b5] __TEXT,__os_log: %s::%s@%d: No active %s DMA
  [0x5155d2] __TEXT,__os_log: %s::%s@%d: No dma-parent defined
  [0x5155f4] __TEXT,__os_log: %s::%s@%d: Malformed dma-parent data
  [0x51561a] __TEXT,__os_log: %s::%s@%d: Unable to allocate IODMAEventSource
  [0x51564a] __TEXT,__os_log: %s::%s@%d: Unable to register eventsource: %s(%#x)
  [0x51568b] __TEXT,__os_log: %s::%s@%d: external-power-provider: %s
  [0x5156db] __TEXT,__os_log: %s::%s@%d: Bad dma-config %d
  [0x5156f9] __TEXT,__os_log: %s::%s@%d: no channels
  [0x515711] __TEXT,__os_log: %s::%s@%d: bad config cc%d, bpc%d hz%d: %s(%#x)
  [0x515773] __TEXT,__os_log: %s::%s@%d: Unable to set DMAConfig for index %d: %s(%#x)
  [0x5157ad] __TEXT,__os_log: %s::%s@%d: Unable to set depth to %d: %s(%#x)
  [0x5157dc] __TEXT,__os_log: %s::%s@%d: Failed to set stream cc%d, bpc%d hz%d: %s(%#x)
  [0x515817] __TEXT,__os_log: %s::%s@%d: Command memory descriptor unexpectedly changed
  [0x515852] __TEXT,__os_log: %s::%s@%d: Unable to startDMACommand: %s(%#x)
  [0x515881] __TEXT,__os_log: %s::%s@%d: Unable to transfer memory descriptor: %s(%#x)
  [0x5158bb] __TEXT,__os_log: %s::%s@%d: stopDMACommand returned %s(%#x)
  [0x5158e7] __TEXT,__os_log: %s::%s@%d: abortTransfers returned %s(%#x)
  [0x515913] __TEXT,__os_log: %s::%s@%d: Preventative abortTransfers returned %s(%#x)
  [0x4a0bee0] __DATA,__data: com.apple.driver.AppleIOPADMAStream

########################################################################
IMAGE 089: com.apple.driver.AppleIPAppender
########################################################################
FILESET_INDEX: 89
FILE_OFFSET: 0x515950
VMADDR: 0xfffffe0007519950
UUID: 5E498F71-95A7-34E7-A827-10BB197D3EAC
CFBundleName: AppleIPAppender
CFBundleExecutable: AppleIPAppender
CFBundleVersion: 1.0
CFBundleShortVersionString: 1.0
OSBundleUUID: {'__bytes_hex__': '5e498f7195a734e7a82710bb197d3eac'}
MinimumOSVersion: 27.0
DTPlatformVersion: 27.0
DTSDKName: iphoneos27.0.internal
DTSDKBuild: 24A417
DTXcode: 2700
DTXcodeBuild: 27A200c
_PrelinkBundlePath: /System/Library/Extensions/AppleIPAppender.kext
_PrelinkExecutableSize: 3376
OSBundleLibraries: {"com.apple.iokit.IONetworkingFamily": "1.4.3", "com.apple.iokit.IOSkywalkFamily": "1.0", "com.apple.kpi.bsd": "8.0", "com.apple.kpi.iokit": "8.0", "com.apple.kpi.libkern": "8.0", "com.apple.kpi.mach": "8.0", "com.apple.kpi.private": "8.0", "com.apple.kpi.unsupported": "8.0"}

SECTIONS:
  __TEXT,__cstring addr=0xfffffe000751a018 size=0x63c fileoff=0x516018 flags=0x2
  __TEXT,__const addr=0xfffffe000751a660 size=0x20 fileoff=0x516660 flags=0x0
  __TEXT_EXEC,__text addr=0xfffffe00090222a0 size=0x5760 fileoff=0x201e2a0 flags=0x80000400
  __TEXT_EXEC,__auth_stubs addr=0xfffffe0009027a00 size=0x350 fileoff=0x2023a00 flags=0x80000408
  __DATA,__data addr=0xfffffe000ba10110 size=0xc9 fileoff=0x4a0c110 flags=0x0
  __DATA,__common addr=0xfffffe000ba101e0 size=0x120 fileoff=0x0 flags=0x1
  __DATA,__bss addr=0xfffffe000ba10300 size=0xc0 fileoff=0x0 flags=0x1
  __DATA_CONST,__mod_init_func addr=0xfffffe00080d2f40 size=0x18 fileoff=0x10cef40 flags=0x9
  __DATA_CONST,__mod_term_func addr=0xfffffe00080d2f58 size=0x18 fileoff=0x10cef58 flags=0xa
  __DATA_CONST,__const addr=0xfffffe00080d2f70 size=0x1030 fileoff=0x10cef70 flags=0x0
  __DATA_CONST,__kalloc_type addr=0xfffffe00080d3fa0 size=0x280 fileoff=0x10cffa0 flags=0x0
  __DATA_CONST,__kalloc_var addr=0xfffffe00080d4220 size=0xf0 fileoff=0x10d0220 flags=0x0
  __DATA_CONST,__auth_got addr=0xfffffe00080d4310 size=0x1a8 fileoff=0x10d0310 flags=0x6
  __DATA_CONST,__got addr=0xfffffe00080d44b8 size=0x50 fileoff=0x10d04b8 flags=0x6

READABLE_STRINGS:
  [0x516018] __TEXT,__cstring: AppleIPDormancyHandler
  [0x51602f] __TEXT,__cstring: site.AppleIPDormancyHandler
  [0x51604b] __TEXT,__cstring: 12112221111111
  [0x51605a] __TEXT,__cstring: AppleIPAppenderUserClient
  [0x516074] __TEXT,__cstring: site.AppleIPAppenderUserClient
  [0x516093] __TEXT,__cstring: 121111121222121211111111111111
  [0x5160b2] __TEXT,__cstring: com.apple.driver.AppleIPAppender.user-access
  [0x5160df] __TEXT,__cstring: site.AppleIPAppenderAsyncParamBlock
  [0x516103] __TEXT,__cstring: 11111111
  [0x51610c] __TEXT,__cstring: %s: given buffer cannot be NULL
  [0x51612d] __TEXT,__cstring: bool AppleIPOpenPortsList::getPortListsRaw(const ifnet_t, unsigned int, uint8_t *, unsigned int)
  [0x51618e] __TEXT,__cstring: %s: Failed to allocate a buffer
  [0x5161af] __TEXT,__cstring: %s: ifnet_get_local_ports_extended() returns error code: 0x%x (%d)
  [0x5161f3] __TEXT,__cstring: %s: BitFieldBuffer is not ready or failed to copy Buffer.
  [0x51622e] __TEXT,__cstring: %s: The Page Number(%u) cannot exceed the maximum page number (%u)
  [0x516272] __TEXT,__cstring: bool AppleIPOpenPortsList::copyBitFieldBuffer(uint8_t *, unsigned int)
  [0x5162b9] __TEXT,__cstring: AppleIPAppender
  [0x5162c9] __TEXT,__cstring: site.AppleIPAppender
  [0x5162de] __TEXT,__cstring: 121111121222121211222221111111222222222222111111111122222211111111111111111111111211111111111111111111111
  [0x516348] __TEXT,__cstring: site.ifnet_keepalive_offload_frame
  [0x51636c] __TEXT,__cstring: site.AppleIPAppenderFilterRuleCBInfo
  [0x516396] __TEXT,__cstring: site.AppleIPAppenderCompletion
  [0x5163b9] __TEXT,__cstring: Background System
  [0x5163cb] __TEXT,__cstring: Background
  [0x5163d6] __TEXT,__cstring: Best Effort
  [0x5163e2] __TEXT,__cstring: Responsive Data
  [0x5163f2] __TEXT,__cstring: Administration
  [0x516401] __TEXT,__cstring: Streaming Media
  [0x516411] __TEXT,__cstring: Responsive Media
  [0x516422] __TEXT,__cstring: Interactive Video
  [0x516434] __TEXT,__cstring: Interactive Voice
  [0x516446] __TEXT,__cstring: Control
  [0x51644e] __TEXT,__cstring: InvalidTrafficClass
  [0x516462] __TEXT,__cstring: kern.wakereason
  [0x516472] __TEXT,__cstring: "tx signal callback not available" @%s:%d
  [0x51649c] __TEXT,__cstring: AppleIPAppender.cpp
  [0x5164b0] __TEXT,__cstring: getKeepaliveOffloadFramesGated: Failed to allocate memory
  [0x5164eb] __TEXT,__cstring: AppleIPAppender::%s: ifnet_set_link_quality returned: %d
  [0x516525] __TEXT,__cstring: setLinkQualityMetricGated
  [0x51653f] __TEXT,__cstring: AppleIPAppender only supports %u ifNet interfaces - provided %u
  [0x516580] __TEXT,__cstring: Attempt to enable IONetworkInterface without disabling previous one - %p, %p
  [0x5165ce] __TEXT,__cstring: setIONetworkInterfaceGated
  [0x5165e9] __TEXT,__cstring: Attempt to disable mismatched IONetworkInterface - held %p  provided %p
  [0x516632] __TEXT,__cstring: setSkywalkInterfaceGated
  [0x51664b] __TEXT,__cstring: baseband
  [0x4a0c120] __DATA,__data: com.apple.driver.AppleIPAppender

########################################################################
IMAGE 090: com.apple.security.AppleImage4
########################################################################
FILESET_INDEX: 90
FILE_OFFSET: 0x516680
VMADDR: 0xfffffe000751a680
UUID: F797CD85-5743-39F7-9E71-C3B35ED8E91C
CFBundleName: Image4
CFBundleExecutable: AppleImage4
CFBundleVersion: 7.0.0
CFBundleShortVersionString: 7.0.0
OSBundleUUID: {'__bytes_hex__': 'f797cd85574339f79e71c3b35ed8e91c'}
OSBundleRequired: Local-Root
MinimumOSVersion: 27.0
DTPlatformVersion: 27.0
DTSDKName: iphoneos27.0.internal
DTSDKBuild: 24A417
DTXcode: 2700
DTXcodeBuild: 27A200c
_PrelinkBundlePath: /System/Library/Extensions/AppleImage4.kext
_PrelinkExecutableSize: 88237
