  [0xd10102] __TEXT,__const: accessorysensormgrd
  [0xd151fa] __TEXT,__const: ZAFKMailboxEndpointInterface
  [0xd15222] __TEXT,__const: acom.apple.coremedia.capturesession
  [0xd15252] __TEXT,__const: fcom.apple.perceptiond.peripheralSensing
  [0xd152a2] __TEXT,__const: ]com.apple.aonsensed.camera-xpc
  [0xd152ca] __TEXT,__const: Ycom.apple.siri.uaf.service
  [0xd154ea] __TEXT,__const: appinstallationmetricsd
  [0xd155b2] __TEXT,__const: AppIntentsLiveEntityService
  [0xd155d2] __TEXT,__const: gcom.apple.intelligenceflow.daemonControl
  [0xd156aa] __TEXT,__const: AppIntentsRunnerXPCService
  [0xd15772] __TEXT,__const: appleaccountd
  [0xd15782] __TEXT,__const: gcom.apple.ManagedSettingsAgent.publisher
  [0xd15802] __TEXT,__const: \com.apple.StatusKit.subscribe
  [0xd1582a] __TEXT,__const: fcom.apple.duetexpertd.assistant-actions
  [0xd1585a] __TEXT,__const: fcom.apple.ScreenTimeAgent.communication
  [0xd158fa] __TEXT,__const: [com.apple.ak.inheritance.xpc
  [0xd15942] __TEXT,__const: pcom.apple.AudioAccessoryAssetManagementXPCService
  [0xd15a22] __TEXT,__const: appleaccounttransparencyd
  [0xd15a42] __TEXT,__const: Zcom.apple.transparencyd.aet
  [0xd15a6a] __TEXT,__const: applecamerad
  [0xd15a7a] __TEXT,__const: [VADResourceArbiterUserClient
  [0xd15ac2] __TEXT,__const: SNBTimesyncUserClient
  [0xd15b1a] __TEXT,__const: QVADResourceArbiter
  [0xd15b3a] __TEXT,__const: INBTimesync
  [0xd15b52] __TEXT,__const: LAppleH10CamIn
  [0xd15b82] __TEXT,__const: MDMAUCInterface
  [0xd15c62] __TEXT,__const: AppleCredentialManagerDaemon
  [0xd15c82] __TEXT,__const: KACMTRMStore_
  [0xd15c90] __TEXT,__const: IConfigLoad
  [0xd15c9f] __TEXT,__const: IPolicyLoad
  [0xd15cb1] __TEXT,__const: JccCacheLoad
  [0xd15cc1] __TEXT,__const: KnalyticsLoad
  [0xd15d82] __TEXT,__const: AppleDeviceQueryService
  [0xd15da2] __TEXT,__const: _AppleBiometricServicesUserClient
  [0xd15dea] __TEXT,__const: ^IOPortTransportAIDBusUserClient
  [0xd15e32] __TEXT,__const: TIOPortTransportAIDBus
  [0xd15e52] __TEXT,__const: SAppleSPUHIDInterface
  [0xd15e72] __TEXT,__const: UAppleBiometricServices
  [0xd15eba] __TEXT,__const: Vcom.apple.centaurid.xpc
  [0xd15eda] __TEXT,__const: ]com.apple.ZhuGeInternalService
  [0xd15f92] __TEXT,__const: AppleEmbeddedAccessoryUpdaterService
  [0xd1604a] __TEXT,__const: appleh13camerad
  [0xd16062] __TEXT,__const: VAppleH13CamInUserClient
  [0xd16082] __TEXT,__const: ONBCoreUserClient
  [0xd16097] __TEXT,__const: \ApplePhotonDetectorUserClient
  [0xd160c2] __TEXT,__const: LNBCoreService
  [0xd160d4] __TEXT,__const: RApplePhotonDetector
  [0xd160f2] __TEXT,__const: LAppleH13CamIn
  [0xd161ba] __TEXT,__const: appleh16camerad
  [0xd161d2] __TEXT,__const: VAppleH16CamInUserClient
  [0xd161f2] __TEXT,__const: _AppleH16PhotonDetectorUserClient
  [0xd1621a] __TEXT,__const: LAppleH16CamIn
  [0xd16232] __TEXT,__const: UAppleH16PhotonDetector
  [0xd16252] __TEXT,__const: L/isp_sem_test
  [0xd1626a] __TEXT,__const: L/isp_shm_test
  [0xd16322] __TEXT,__const: acom.apple.CoreRepairCoreXPCService
  [0xd163ea] __TEXT,__const: appleidsetupd
  [0xd163fa] __TEXT,__const: Ucom.apple.userprofiles
  [0xd1641a] __TEXT,__const: ^com.apple.PineBoardRiseServices
  [0xd16442] __TEXT,__const: ncom.apple.installcoordinationd.PersonaLifecycle
  [0xd1647a] __TEXT,__const: acom.apple.appleidsetupd.repair.xpc
  [0xd16552] __TEXT,__const: AppleIntelligenceReportingProcessingService
  [0xd1669a] __TEXT,__const: applekeystored
  [0xd166b2] __TEXT,__const: UAKSAnalyticsUserClient
  [0xd166d2] __TEXT,__const: KAKSAnalytics
  [0xd1677a] __TEXT,__const: AppleQEMUGuestAgent
  [0xd16792] __TEXT,__const: F/bin/ls
  [0xd167a2] __TEXT,__const: O/usr/bin/sw_vers
  [0xd167bd] __TEXT,__const: Gsbin/md5
  [0xd167ec] __TEXT,__const: Gusr/bin/
  [0xd16842] __TEXT,__const: Fobjdump
  [0xd1686a] __TEXT,__const: H/bin/echo
  [0xd1687a] __TEXT,__const: O/usr/bin/killall
  [0xd16892] __TEXT,__const: P/usr/bin/defaults
  [0xd168aa] __TEXT,__const: H/bin/bash
  [0xd168bd] __TEXT,__const: Hbin/sleep
  [0xd168d1] __TEXT,__const: Ibin/uptime
  [0xd168e0] __TEXT,__const: Isbin/nvram
  [0xd168f2] __TEXT,__const: K/usr/bin/log
  [0xd1691b] __TEXT,__const: Gifconfig
  [0xd1692a] __TEXT,__const: F/bin/sh
  [0xd1693a] __TEXT,__const: M/usr/bin/pkill
  [0xd16952] __TEXT,__const: M/bin/launchctl
  [0xd1696a] __TEXT,__const: G/bin/zsh
  [0xd1697a] __TEXT,__const: L/usr/bin/find
  [0xd16992] __TEXT,__const: M/usr/bin/login
  [0xd169aa] __TEXT,__const: N/usr/bin/plutil
  [0xd169c2] __TEXT,__const: N/usr/local/bin/
  [0xd169de] __TEXT,__const: Ghomeutil
  [0xd169eb] __TEXT,__const: Gswitchcl
  [0xd16a1d] __TEXT,__const: Lssistant_tool
  [0xd16a52] __TEXT,__const: S/usr/local/bin/hkctl
  [0xd16a72] __TEXT,__const: J/usr/local/
  [0xd16a7f] __TEXT,__const: Hsbin/sshd
  [0xd16a9c] __TEXT,__const: Fairtool
  [0xd16ac5] __TEXT,__const: Gifrunner
  [0xd16ad2] __TEXT,__const: HLaunchApp
  [0xd16ae0] __TEXT,__const: Icapturectl
  [0xd16b20] __TEXT,__const: Fuiatool
  [0xd16b2c] __TEXT,__const: Jnapshottool
  [0xd16b42] __TEXT,__const: S/usr/local/bin/recap
  [0xd16b62] __TEXT,__const: X/usr/local/bin/profilectl
  [0xd16b84] __TEXT,__const: /AppleInternal/Library/Frameworks/Python.framework/Versions/3.9/bin/python3.9
  [0xd16c6a] __TEXT,__const: AppleUVCCamera
  [0xd16d1a] __TEXT,__const: AppleVirtualPlatformHIDBridge
  [0xd16d3a] __TEXT,__const: iAppleVirtualPlatformHIDInterfaceUserClient
  [0xd16d72] __TEXT,__const: _AppleVirtualPlatformHIDInterface
  [0xd16e2a] __TEXT,__const: applicensedeliveryd
  [0xd16e42] __TEXT,__const: dcom.apple.managedappdistributiond.xpc
  [0xd16f4a] __TEXT,__const: appmanagedfeaturesd
  [0xd16f62] __TEXT,__const: dcom.apple.managedconfiguration.teslad
  [0xd17062] __TEXT,__const: AppMigrationKitHelper
  [0xd1710a] __TEXT,__const: appplaceholdersyncd
  [0xd17122] __TEXT,__const: [com.apple.replicatorservices
  [0xd171e2] __TEXT,__const: AppPredictionIntentsHelperService
  [0xd172b2] __TEXT,__const: appprotectiond
  [0xd172ca] __TEXT,__const: zcom.apple.usernotifications.usernotificationsettingsservice
  [0xd17312] __TEXT,__const: ]com.apple.appprotectiond.write
  [0xd1733a] __TEXT,__const: Zcom.apple.lsd.appprotection
  [0xd1740a] __TEXT,__const: AppSSODaemon
  [0xd174b2] __TEXT,__const: appstorecomponentsd
  [0xd174ca] __TEXT,__const: ccom.apple.ap.promotedcontent.metrics
  [0xd174fa] __TEXT,__const: mcom.apple.ap.promotedcontent.identifiermanager
  [0xd17532] __TEXT,__const: ccom.apple.AppDistributionLaunchAngel
  [0xd17609] __TEXT,__const: ]installcood.f.2fc67c96c6654d23
  [0xd17632] __TEXT,__const: \com.apple.IIOBlastDoorService
  [0xd1765a] __TEXT,__const: jcom.apple.attributionkitd.xpc.token-handoff
  [0xd1769e] __TEXT,__const: Vbackgroundassets.system
  [0xd176ba] __TEXT,__const: ]ServicesPaymentAngel.presenter
  [0xd1771a] __TEXT,__const: hcom.apple.appconduitd.application-manager
  [0xd1774a] __TEXT,__const: Rcom.apple.uservault
  [0xd177ea] __TEXT,__const: ccom.apple.appinstallationmetrics.xpc
  [0xd17872] __TEXT,__const: fcom.apple.corereporting.report-services
  [0xd178a2] __TEXT,__const: ocom.apple.ServicesPaymentPresentationService.xpc
  [0xd1790a] __TEXT,__const: pcom.apple.VideoSubscriberAccount.DeveloperService
  [0xd17a12] __TEXT,__const: AppStoreService
  [0xd17ac2] __TEXT,__const: acom.apple.powerd.coresmartpowernap
  [0xd17b12] __TEXT,__const: fcom.apple.facetimemessagestored.service
  [0xd17b42] __TEXT,__const: Ucom.apple.safetyalerts
  [0xd17b7c] __TEXT,__const: Rdummy.delegate.port
  [0xd17b97] __TEXT,__const: KGeneralTopic
  [0xd17bb8] __TEXT,__const: RDeviceSpecificTopic
  [0xd17c20] __TEXT,__const: LHeadBoard.aps
  [0xd17c34] __TEXT,__const: Nemail.maild.aps
  [0xd17c4a] __TEXT,__const: Rvideosubscriptionsd
  [0xd17c9a] __TEXT,__const: XCallHistorySyncHelper.aps
  [0xd17d32] __TEXT,__const: Kppstored.aps
  [0xd17d78] __TEXT,__const: Mbd.system-push
  [0xd17d94] __TEXT,__const: Noccupancyd.push
  [0xd17daa] __TEXT,__const: Pnotifications.aps
  [0xd17dd2] __TEXT,__const: LtatusKit.apsd
  [0xd17def] __TEXT,__const: VBookmarksSyncAgent.Push
  [0xd17e0d] __TEXT,__const: YCloudHistoryPushAgent.Push
  [0xd17e33] __TEXT,__const: Fte.aesd
  [0xd17e41] __TEXT,__const: Hhatupdawg
  [0xd17eb1] __TEXT,__const: OdSheetPhone.push
  [0xd17ec8] __TEXT,__const: RctivitySharing.push
  [0xd17ee2] __TEXT,__const: \OSNotification.aps-production
  [0xd17f0d] __TEXT,__const: FakePort
  [0xd17f20] __TEXT,__const: Xleprovider.extension.push
  [0xd17f58] __TEXT,__const: Ianced.apsd
  [0xd17f69] __TEXT,__const: Ydmy.push.com.apple.findmy.
  [0xd17f87] __TEXT,__const: Hcontainer
  [0xd17f97] __TEXT,__const: Llocalfindable
  [0xd17fd7] __TEXT,__const: Fssd.aps
  [0xd17fe5] __TEXT,__const: Hrsecd.aps
  [0xd17ff7] __TEXT,__const: Khotos.cloud.
  [0xd18007] __TEXT,__const: Idatarepair
  [0xd18018] __TEXT,__const: Opushnotification
  [0xd1803c] __TEXT,__const: ^-[CKSyncEngineTests testInitial
  [0xd1805d] __TEXT,__const: Gization]
  [0xd1806c] __TEXT,__const: TImport_EmptyDatabase]
  [0xd1808d] __TEXT,__const: Oransparencyd.aps
  [0xd180a4] __TEXT,__const: melephonyutilities.callservicesdaemon.voip.push
  [0xd18107] __TEXT,__const: Oarrierutilitiesd
  [0xd1812e] __TEXT,__const: Gmpaniond
  [0xd1813d] __TEXT,__const: Untacts.postersyncd.aps
  [0xd18180] __TEXT,__const: Gata.test
  [0xd1818f] __TEXT,__const: Vuet.knowledge.sync.push
  [0xd181f9] __TEXT,__const: Jickersd.aps
  [0xd1820b] __TEXT,__const: Qorebookkeeperd.aps
  [0xd1824a] __TEXT,__const: Remessagingagent.aps
  [0xd18277] __TEXT,__const: H.poc.c010
  [0xd1828e] __TEXT,__const: `anagedconfiguration.mdmdpush-prod
  [0xd182bd] __TEXT,__const: Htimer.aps
  [0xd182cd] __TEXT,__const: K.itesterdAPS
  [0xd18316] __TEXT,__const: Hpush-prod
  [0xd18353] __TEXT,__const: Imagent.aps
  [0xd18364] __TEXT,__const: Pdentityservicesd.
  [0xd18381] __TEXT,__const: Jregionstore
  [0xd183da] __TEXT,__const: oternal.suiuntool.SystemExperienceAutomationAngel
  [0xd1841d] __TEXT,__const: Osearchpartyd.aps
  [0xd18672] __TEXT,__const: pcom.apple.coremedia.mediaparserd.formatreader.xpc
  [0xd186aa] __TEXT,__const: mcom.apple.coremedia.mediaplaybackd.remaker.xpc
  [0xd186e2] __TEXT,__const: [com.apple.nutritiond.service
  [0xd187d2] __TEXT,__const: FASIOKit
  [0xd188fa] __TEXT,__const: askpermissiond
  [0xd1899a] __TEXT,__const: Ucom.apple.people.agent
  [0xd189d2] __TEXT,__const: bcom.apple.ScreenTimeAgent.exception
  [0xd18ace] __TEXT,__const: Laskto.client.
  [0xd18ade] __TEXT,__const: RScreenTimeAgent.ask
  [0xd18af6] __TEXT,__const: Scontactsd.commlimits
  [0xd18b16] __TEXT,__const: MAngel.sessions
  [0xd18b37] __TEXT,__const: KDaemon.topic
