  [0x38cfa5] __TEXT,__cstring: component-index
  [0x38dbb6] __TEXT,__os_log: %s: unexpected challengeLength:%llu
  [0x38dbe3] __TEXT,__os_log: %s: !structureInput
  [0x38dbf7] __TEXT,__os_log: %s: !structureOutput
  [0x38dc0c] __TEXT,__os_log: %s: !structureInputSize
  [0x38dc24] __TEXT,__os_log: %s: !structureOutputSize
  [0x38dc3d] __TEXT,__os_log: %s: unexpected outputSize:%llu
  [0x38dc88] __TEXT,__os_log: %s: unexpected structureInputSize=%d
  [0x38dcad] __TEXT,__os_log: %s: unexpected structureOutputSize=%d
  [0x38dcd6] __TEXT,__os_log: %s: unexpected scalarInputCount:%u
  [0x38dcf9] __TEXT,__os_log: %s: unexpected scalarOutputCount:%u
  [0x38dd46] __TEXT,__os_log: %s: unexpected structureInputSize:%u
  [0x38dd6b] __TEXT,__os_log: %s: unexpected structureOutputSize:%u
  [0x38dd91] __TEXT,__os_log: %s: unexpected inCmdLen:%llu
  [0x38ddae] __TEXT,__os_log: %s: unexpected outRspLen:%llu
  [0x38ddcc] __TEXT,__os_log: Reading %u bytes from register 0x%02X...
  [0x38ddf5] __TEXT,__os_log: %s: I2C write failure! (ret: %x)
  [0x38de16] __TEXT,__os_log: %s: I2C read failure! (ret: %x)
  [0x38de36] __TEXT,__os_log: %s: I2C read of %u bytes successful!
  [0x38de5b] __TEXT,__os_log: %s: Failed to access provider
  [0x38de79] __TEXT,__os_log: %s: provider is not AppleAuthCPRelayInterface
  [0x38dea7] __TEXT,__os_log: %s: SMC write failure! (ret: %x)
  [0x38dec8] __TEXT,__os_log: %s: SMC read failure! (ret: %x)
  [0x38dee8] __TEXT,__os_log: %s: SMC read of %u bytes successful!
  [0x38df0d] __TEXT,__os_log: Writing %u bytes to register 0x%02X...
  [0x38df34] __TEXT,__os_log: I2C write successful!
  [0x38df4a] __TEXT,__os_log: I2C write failure! (ret: %x)
  [0x38e00d] __TEXT,__os_log: %s: size:%d
  [0x38e019] __TEXT,__os_log: %s: length:%d, size:%d
  [0x38e067] __TEXT,__os_log: %s: getTransportEntryId failed 0x%x
  [0x38e08e] __TEXT,__os_log: %s: getChallengeSignatureLengths failed 0x%x
  [0x38e0f7] __TEXT,__os_log: %s: Challenge length not valid
  [0x38e118] __TEXT,__os_log: %s: Certificate length not valid
  [0x38e13b] __TEXT,__os_log: %s: Signature Generation did not succeed
  [0x38e191] __TEXT,__os_log: %s: Signature length not valid
  [0x38e1b2] __TEXT,__os_log: %s: Error received for %s address 0x%x for len %llu: 0x%x
  [0x38e1f2] __TEXT,__os_log: %s: options:%llu
  [0x38e203] __TEXT,__os_log: %s: unexpected lengths: %llu > %llu
  [0x38e26c] __TEXT,__os_log: _getCertSN: certLen %d, max %d
  [0x38e28b] __TEXT,__os_log: Unexpected certificate length! Skipping read of cert serial...
  [0x38e2ca] __TEXT,__os_log: _getCertSN: error: %s
  [0x38e2e0] __TEXT,__os_log: _getCert: certLen %d
  [0x38e316] __TEXT,__os_log: _getCert: Got certData! certLen %d
  [0x38e339] __TEXT,__os_log: _getCert: error: %s
  [0x38e3c4] __TEXT,__os_log: _getSignature: error: %s
  [0x38e3dd] __TEXT,__os_log: MogulAuthI2CRelayInterface::_read:%d: address:0x%x, failed:0x%x
  [0x38e41e] __TEXT,__os_log: MogulAuthI2CRelayInterface::_read:%d: data:0x%x, dataLength:%llu, failed:0x%x
  [0x38e46d] __TEXT,__os_log: MogulAuthI2CRelayInterface::_read: bus error during certificate read
  [0x38e4b3] __TEXT,__os_log: MogulAuthI2CRelayInterface::_write:%d: address:0x%x, data:0x%x, dataLength:%d
  [0x38e53c] __TEXT,__os_log: _checkErrorCode failed: 0x%x
  [0x38e559] __TEXT,__os_log: Mogul Error Code: 0x%02X
  [0x38e572] __TEXT,__os_log: MogulAuthI2CRelayInterface::_readWithAidPassthroughCommand: zone:%d, address:0x%x, length:%d
  [0x38e5d0] __TEXT,__os_log: MogulAuthI2CRelayInterface::_readWithAidPassthroughCommand: _write failed
  [0x38e61b] __TEXT,__os_log: MogulAuthI2CRelayInterface::_readWithAidPassthroughCommand: error code
  [0x38e663] __TEXT,__os_log: MogulAuthI2CRelayInterface::_readWithAidPassthroughCommand: _read failed
  [0x38e6ad] __TEXT,__os_log: MogulAuthI2CRelayInterface::_readWithAidPassthroughCommand: error:0x%x
  [0x38e6f4] __TEXT,__os_log: %s: _iicBusNumber:%d
  [0x38e89c] __TEXT,__os_log: MogulAuthSMCRelayInterface::_read:%d: address:0x%x, failed:0x%x
  [0x38e8dd] __TEXT,__os_log: MogulAuthSMCRelayInterface::_read:%d: data:0x%x, dataLength:%llu, failed:0x%x
  [0x38e92c] __TEXT,__os_log: MogulAuthSMCRelayInterface::_write:%d: address:0x%x, data:0x%x, dataLength:%d
  [0x38e97b] __TEXT,__os_log: %s: Address provided is null!
  [0x38e999] __TEXT,__os_log: MogulAuthSMCRelayInterface::transferData:dir=%d add=%02x len=%llu
  [0x38e9db] __TEXT,__os_log: MogulAuthSMCRelayInterface::transferData:dir=%d add=NULL len=%llu
  [0x38ea1d] __TEXT,__os_log: %s: Transfer attempt failed! Retries left: %d
  [0x38ea4b] __TEXT,__os_log: MogulAuthSMCRelayInterface::transferData: Success!
  [0x38ea7e] __TEXT,__os_log: MogulAuthSMCRelayInterface::transferData: Transfer failed after %d retries!
  [0x38eaca] __TEXT,__os_log: %s: Data + Address length %llu > Maximum %d
  [0x38eaf6] __TEXT,__os_log: %s: Data length is %llu but a null buffer was provided!
  [0x38eb2e] __TEXT,__os_log: %s: SMC Error in SMBC: 0x%02X
  [0x38eb4c] __TEXT,__os_log: %s: SMC Error in SMBU: 0x%02X
  [0x38eb6a] __TEXT,__os_log: %s: SMC Error in SMBG: 0x%02X
  [0x38eb88] __TEXT,__os_log: %s: SMC Error in SMBS: 0x%02X
  [0x38eba6] __TEXT,__os_log: %s: Bus Error in SMC write: 0x%02X 0x%02X
  [0x38ebd0] __TEXT,__os_log: %s: Data length %llu > Maximum %d
  [0x38ebf2] __TEXT,__os_log: %s: A null buffer was provided!
  [0x38ec6c] __TEXT,__os_log: %s: SMC Error in SMBD: 0x%02X
  [0x38ecc0] __TEXT,__os_log: MogulAuthSMCRelayInterface::_readWithAidPassthroughCommand: zone:%d, address:0x%x, length:%d
  [0x38ed1e] __TEXT,__os_log: MogulAuthSMCRelayInterface::_readWithAidPassthroughCommand: _write failed
  [0x38ed69] __TEXT,__os_log: MogulAuthSMCRelayInterface::_readWithAidPassthroughCommand: error code
  [0x38edb1] __TEXT,__os_log: MogulAuthSMCRelayInterface::_readWithAidPassthroughCommand: _read failed
  [0x38edfb] __TEXT,__os_log: MogulAuthSMCRelayInterface::_readWithAidPassthroughCommand: error:0x%x
  [0x38ee58] __TEXT,__os_log: Area51AuthSMCRelayInterface::_read:%d: address:0x%x, failed:0x%x
  [0x38ee9a] __TEXT,__os_log: Area51AuthSMCRelayInterface::_read:%d: data:0x%x, dataLength:%llu, failed:0x%x
  [0x38eeea] __TEXT,__os_log: Area51AuthSMCRelayInterface::_write:%d: address:0x%x, data:0x%x, dataLength:%d
  [0x38ef58] __TEXT,__os_log: Area51AuthSMCRelayInterface::transferData:dir=%d add=%02x len=%llu
  [0x38ef9b] __TEXT,__os_log: Area51AuthSMCRelayInterface::transferData:dir=%d add=NULL len=%llu
  [0x38f00c] __TEXT,__os_log: Area51AuthSMCRelayInterface::transferData: Success!
  [0x38f040] __TEXT,__os_log: Area51AuthSMCRelayInterface::transferData: Transfer failed after %d retries!
  [0x38f08d] __TEXT,__os_log: %s:%s: Data + Address length %llu > Maximum %d
  [0x38f0bc] __TEXT,__os_log: %s:%s: Data length is %llu but a null buffer was provided!
  [0x38f0f7] __TEXT,__os_log: %s:%s: SMC Error in SMBC: 0x%02X
  [0x38f118] __TEXT,__os_log: %s:%s: SMC Error in key write %u: 0x%02X
  [0x38f141] __TEXT,__os_log: %s:%s: SMC Error in SMBG: 0x%02X
  [0x38f162] __TEXT,__os_log: %s:%s: SMC Error in SMBS: 0x%02X
  [0x38f183] __TEXT,__os_log: %s:%s: SMBS success
  [0x38f197] __TEXT,__os_log: %s:%s: Bus Error in SMC write: 0x%02X 0x%02X
  [0x38f1c4] __TEXT,__os_log: %s:%s: Data length %llu > Maximum %d
  [0x38f1e9] __TEXT,__os_log: %s:%s: A null buffer was provided!
  [0x38f26f] __TEXT,__os_log: %s:%s: SMC Error in SMBD: 0x%02X
  [0x49d2b28] __DATA,__data: com.apple.driver.AppleAuthCP

########################################################################
IMAGE 030: com.apple.iokit.AppleBCM5701Ethernet
########################################################################
FILESET_INDEX: 30
FILE_OFFSET: 0x38f290
VMADDR: 0xfffffe0007393290
UUID: 1DE89F57-6C40-3E08-AA9F-EC76B2D54FC9
CFBundleName: AppleBCM5701Ethernet
CFBundleExecutable: AppleBCM5701Ethernet
CFBundleVersion: 11.0.0
CFBundleShortVersionString: 11.0.0
OSBundleUUID: {'__bytes_hex__': '1de89f576c403e08aa9fec76b2d54fc9'}
OSBundleRequired: Network-Root
MinimumOSVersion: 27.0
DTPlatformVersion: 27.0
DTSDKName: iphoneos27.0.internal
DTSDKBuild: 24A417
DTXcode: 2700
DTXcodeBuild: 27A200c
_PrelinkBundlePath: /System/Library/Extensions/AppleBCM5701Ethernet.kext
_PrelinkExecutableSize: 18202
OSBundleLibraries: {"com.apple.driver.mDNSOffloadUserClient-Embedded": "1.0.0d6", "com.apple.iokit.IONetworkingFamily": "1.5.0", "com.apple.iokit.IOPCIFamily": "1.6", "com.apple.iokit.IOTimeSyncFamily": "500.10", "com.apple.kpi.bsd": "8.0.0b2", "com.apple.kpi.iokit": "8.0.0b2", "com.apple.kpi.libkern": "8.0.0b2", "com.apple.kpi.mach": "8.0.0b2", "com.apple.kpi.private": "13.0.0"}

SECTIONS:
  __TEXT,__os_log addr=0xfffffe00073939a8 size=0x95 fileoff=0x38f9a8 flags=0x0
  __TEXT,__const addr=0xfffffe0007393a40 size=0x344 fileoff=0x38fa40 flags=0x0
  __TEXT,__cstring addr=0xfffffe0007393d84 size=0x3c26 fileoff=0x38fd84 flags=0x2
  __TEXT_EXEC,__text addr=0xfffffe00089584d0 size=0x1b640 fileoff=0x19544d0 flags=0x80000400
  __TEXT_EXEC,__auth_stubs addr=0xfffffe0008973b10 size=0x8f0 fileoff=0x196fb10 flags=0x80000408
  __DATA,__data addr=0xfffffe000b9d6ee8 size=0x20140 fileoff=0x49d2ee8 flags=0x0
  __DATA,__common addr=0xfffffe000b9f7028 size=0x510 fileoff=0x0 flags=0x1
  __DATA,__bss addr=0xfffffe000b9f7538 size=0x27e fileoff=0x0 flags=0x1
  __DATA_CONST,__mod_init_func addr=0xfffffe0007fa3040 size=0x20 fileoff=0xf9f040 flags=0x9
  __DATA_CONST,__mod_term_func addr=0xfffffe0007fa3060 size=0x20 fileoff=0xf9f060 flags=0xa
  __DATA_CONST,__const addr=0xfffffe0007fa3080 size=0x20b8 fileoff=0xf9f080 flags=0x0
  __DATA_CONST,__kalloc_type addr=0xfffffe0007fa5138 size=0x240 fileoff=0xfa1138 flags=0x0
  __DATA_CONST,__kalloc_var addr=0xfffffe0007fa5378 size=0xa0 fileoff=0xfa1378 flags=0x0
  __DATA_CONST,__auth_got addr=0xfffffe0007fa5418 size=0x478 fileoff=0xfa1418 flags=0x6
  __DATA_CONST,__got addr=0xfffffe0007fa5890 size=0xd0 fileoff=0xfa1890 flags=0x6

READABLE_STRINGS:
  [0x38f9a8] __TEXT,__os_log: BCM5701Enet::setPTPOffsetForMedium speed %llu ingress offset %lld egress offset %lld result %s
  [0x38fa08] __TEXT,__os_log: Assert: %s (value 0x%lx %lu), %s file: %s, line: %d
  [0x38fd84] __TEXT,__cstring: BCM5701Enet
  [0x38fd90] __TEXT,__cstring: site.BCM5701Enet
  [0x38fda1] __TEXT,__cstring: 121111121222121211111112212111111111111111112222222222222222222222222222222222222222222222222222222222222222222222111122221211212212111112122222222222222222222221221111221111221111221111221121221122221212212122111122222222121222222222222222222211211122222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222212121212122222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221221222222111122122222222222222222222212221222222222222222222222222221111122222221111122
  [0x39038a] __TEXT,__cstring: AppleBCM5701Ethernet
  [0x39039f] __TEXT,__cstring: %s [%s%d]
  [0x3903a9] __TEXT,__cstring: %s [%llx, %s]
  [0x3903b7] __TEXT,__cstring: %s: %8lx %8lx %s
  [0x3903c9] __TEXT,__cstring: bcm-ethernet-bjp
  [0x3903da] __TEXT,__cstring: start - Invalid provider
  [0x3903f3] __TEXT,__cstring: start - Super failed
  [0x390408] __TEXT,__cstring: start - workloop logic error
  [0x390425] __TEXT,__cstring: SleepState
  [0x390433] __TEXT,__cstring: start - Allocate MSI Interrupt event source failed
  [0x390466] __TEXT,__cstring: start - Allocate INTx Interrupt event source failed
  [0x39049a] __TEXT,__cstring: start - Add Interrupt event source failed
  [0x3904c4] __TEXT,__cstring: start - Allocate Timer event source failed
  [0x3904ef] __TEXT,__cstring: start - Add Timer event source failed
  [0x390515] __TEXT,__cstring: start - Allocate KDB buffer failed
  [0x390538] __TEXT,__cstring: start - mapping device memory failed
  [0x39055d] __TEXT,__cstring: start - getAdapterInfo failed, giving up
  [0x390586] __TEXT,__cstring: start - allocateMemory failed
  [0x3905a4] __TEXT,__cstring: start - setupPeerCapabilities failed
  [0x3905c9] __TEXT,__cstring: start - createMediumTables failed
  [0x3905eb] __TEXT,__cstring: Product Name
  [0x3905f8] __TEXT,__cstring: Display Ethernet
  [0x390609] __TEXT,__cstring: ioNetBootable
  [0x390617] __TEXT,__cstring: start - attachInterface failed
  [0x390636] __TEXT,__cstring: setTunnelL1Enable - failed
  [0x390651] __TEXT,__cstring: %s %s
  [0x390657] __TEXT,__cstring: model
  [0x39065d] __TEXT,__cstring: Driver_Version
  [0x39066c] __TEXT,__cstring: 11.0.0
  [0x390673] __TEXT,__cstring: %02x:%02x:%02x:%02x:%02x:%02x
  [0x390691] __TEXT,__cstring: mDNS_Offload_Capable
  [0x3906a6] __TEXT,__cstring: configureInterface - super failed
  [0x3906c8] __TEXT,__cstring: IONetworkStatsKey
  [0x3906da] __TEXT,__cstring: configureInterface - Invalid network statistics
  [0x39070a] __TEXT,__cstring: IOEthernetStatsKey
  [0x39071d] __TEXT,__cstring: configureInterface - Invalid ethernet statistics
  [0x39074f] __TEXT,__cstring: if-subtype
  [0x39075a] __TEXT,__cstring: createWorkLoop - failed
  [0x390772] __TEXT,__cstring: EED-Disabled-Timestamp
  [0x39078d] __TEXT,__cstring: updateRxPollingPollingParameters - failed, rc
  [0x3907be] __TEXT,__cstring: D3_WOL
  [0x3907c5] __TEXT,__cstring: D3_NOWOL
  [0x3907ce] __TEXT,__cstring: putToSleep - Logic err in low power enable
  [0x3907f9] __TEXT,__cstring: EnergyDetect
  [0x390806] __TEXT,__cstring: EED-Enabled-Timestamp
  [0x39081c] __TEXT,__cstring: wakeUp - resetAdapter failed
  [0x390839] __TEXT,__cstring: enable interface - already enabled?
  [0x39085d] __TEXT,__cstring: enable - failed
  [0x39086d] __TEXT,__cstring: WOL-State
  [0x390877] __TEXT,__cstring: no-eee
  [0x39087e] __TEXT,__cstring: disallowing EEE based on EDT property
  [0x3908a5] __TEXT,__cstring: handleTxTimer - logic error
  [0x3908c1] __TEXT,__cstring: timeoutOccurred - logic error in power-off-if-idle
  [0x3908f4] __TEXT,__cstring: timeoutOccurred - logic error in eed/low-power cycling.  fReady, fSleepState
  [0x390941] __TEXT,__cstring: timeoutOccurred - logic error2 in eed/low-power cycling.  fReady, fSleepState
  [0x39098f] __TEXT,__cstring: timeoutOccurred: recovering from dropping link-up change interrupt
  [0x3909d2] __TEXT,__cstring: Apple
  [0x3909d8] __TEXT,__cstring: Broadcom
  [0x3909e6] __TEXT,__cstring: 57761
  [0x3909ec] __TEXT,__cstring: 57765
  [0x3909f2] __TEXT,__cstring: 57762
  [0x3909f8] __TEXT,__cstring: 57766
  [0x390a03] __TEXT,__cstring: %s-%c%c
  [0x390a0b] __TEXT,__cstring: setPromiscuousMode - Failed
  [0x390a27] __TEXT,__cstring: createMediumTables - create dict. failed
  [0x390a50] __TEXT,__cstring: createMediumTables - publish dict. failed
  [0x390a7a] __TEXT,__cstring: selectMedium - unknown network type
  [0x390a9e] __TEXT,__cstring: selectMedium - ResetPhy to take out of loopback mode, fRequestedMedia.loop=
  [0x390aea] __TEXT,__cstring: selectMedium - Change rejected
  [0x390b09] __TEXT,__cstring: getChecksumSupport - incorrect family
  [0x390b2f] __TEXT,__cstring: Set_BJP_Wakeup_Timer
  [0x390b44] __TEXT,__cstring: DoDumpNVRam - Exiting low power mode
  [0x390b69] __TEXT,__cstring: DoSetLoopbackMode - switching active loopback style, from=, to=
  [0x390ba9] __TEXT,__cstring: DoSetLoopbackMode - switching loopback style for next time, bsd unit, style
  [0x390bfa] __TEXT,__cstring: registerWithPolicyMaker - failed to allocate thread
  [0x390c2e] __TEXT,__cstring: IOPCIPauseCompatible
  [0x390c43] __TEXT,__cstring: %s: willTerminate - offline
  [0x390c60] __TEXT,__cstring: powerStateWillChangeTo - about to be paused, bsd unit
  [0x390c96] __TEXT,__cstring: powerStateWillChangeTo - back from being paused, bsd unit
  [0x390cd0] __TEXT,__cstring: Pause-Set-Timestamp
  [0x390ce4] __TEXT,__cstring: Pause-Cleared-Timestamp
  [0x390cfc] __TEXT,__cstring: setPowerStateGatedPrivate - logic err, unknown cmd
  [0x390d2f] __TEXT,__cstring: disable-aspm-on-link
  [0x390d44] __TEXT,__cstring: getAdapterInfo - Vendor is unknown
  [0x390d67] __TEXT,__cstring: getAdaptorInfo - error setting up configuration data
  [0x390d9c] __TEXT,__cstring: FirmwareVersionString
  [0x390db2] __TEXT,__cstring: 57761-a1.54
  [0x390dbe] __TEXT,__cstring: 57762-a1.15
  [0x390dca] __TEXT,__cstring: 57765-a1.54
  [0x390dd6] __TEXT,__cstring: 57766a-v1.15
  [0x390de3] __TEXT,__cstring: 5764m-v3.38
  [0x390def] __TEXT,__cstring: getAdapterInfo - failed, unsupoorted device ID
  [0x390e1e] __TEXT,__cstring: getAdapterInfo - failed grc reset, bailing
  [0x390e49] __TEXT,__cstring: getAdapterInfo - Device is unknown
  [0x390e6c] __TEXT,__cstring: getAdapterInfo: failed to get nvram info
  [0x390e95] __TEXT,__cstring: getAdaptorInfo - failed to get MAC Address.  Stopping.
  [0x390ecc] __TEXT,__cstring: publishChipInfo: Failed to init NVRAM
  [0x390ef2] __TEXT,__cstring: AT45DB011D-1Mb-D
  [0x390f03] __TEXT,__cstring: AT45DB021D-2Mb-D
  [0x390f14] __TEXT,__cstring: AT45DB041D-4Mb-D
  [0x390f25] __TEXT,__cstring: AT45DB011B-1Mb-B
  [0x390f36] __TEXT,__cstring: AT45DB021B-2Mb-B
  [0x390f47] __TEXT,__cstring: AT45DB041B-4Mb-B
  [0x390f58] __TEXT,__cstring: STM45PE10-1Mb
  [0x390f66] __TEXT,__cstring: STM45PE20-2Mb
  [0x390f74] __TEXT,__cstring: STM45PE40-4Mb
  [0x390f82] __TEXT,__cstring: AT26_USPT
  [0x390f8c] __TEXT,__cstring: AT45_USPT
  [0x390f96] __TEXT,__cstring: ST25_USPT
  [0x390fa0] __TEXT,__cstring: ST45_USPT
  [0x390faa] __TEXT,__cstring: 0x%02x
  [0x390fb1] __TEXT,__cstring: Offset=0x%x, PageSize=%d, Chip=%s
  [0x390fd3] __TEXT,__cstring: NVRamInfo
  [0x390fdd] __TEXT,__cstring: Broadcom Ethernet
  [0x390fef] __TEXT,__cstring: publishChipInfo: No usable VPD_Identifier_String found
  [0x391026] __TEXT,__cstring: checkMacAddress - invalid (default or zero) MAC address
  [0x39105e] __TEXT,__cstring: GrcReset - hardware flagged as not responding
  [0x39108c] __TEXT,__cstring: GrcReset - failed, not in D0
  [0x3910a9] __TEXT,__cstring: GrcReset - failed to lock flash
  [0x3910c9] __TEXT,__cstring: BCM5701Enet: GrcReset - failed to load non-persistent firmware
  [0x391108] __TEXT,__cstring: GrcReset - failed waiting for bootcode to complete
  [0x39113b] __TEXT,__cstring: FirmwareProperty
  [0x39114c] __TEXT,__cstring: Failed waiting for bootcode to complete
  [0x391174] __TEXT,__cstring: Nonpersistent Firmware
  [0x39118b] __TEXT,__cstring: GrcReset - failed first endian check
  [0x3911b0] __TEXT,__cstring: GrcReset - failed second endian check
  [0x3911d6] __TEXT,__cstring: GrcReset - would have run PXE restart/recovery code
  [0x39120a] __TEXT,__cstring: resetAdapter - failed GRC reset
  [0x39122a] __TEXT,__cstring: resetAdapter - Failed to disable host coalescing state machine
  [0x391269] __TEXT,__cstring: resetAdapter - Setting receive mask failed
